true_label,pred_label,x,y,z,datatime_idx,,—\‘ªƒ‰ƒxƒ‹,x•½‹Ï,y•½‹Ï,z•½‹Ï
0,0,1.993013,0.15760066,0.34373206,0,,0,2.518669714,0.221429369,0.094728721
0,0,2.33967,-0.33555976,0.046798587,1,,1,0.45576897,-2.387218279,-1.498904745
0,0,2.3036218,-0.10666495,-0.57298565,2,,2,0.244375517,-2.268812123,1.678529862
0,0,2.3003576,-0.1371321,-0.19013637,3,,3,-4.211192628,2.915881136,-1.379433306
0,0,2.3503656,-0.38463137,0.005156517,4,,4,1.609549883,2.297477335,1.119087144
0,0,2.5134754,-0.34007922,0.13478197,5,,,,,
0,0,2.374353,-0.3981307,-0.10704594,6,,,,,
0,0,2.3987288,-0.11183733,-0.2716032,7,,,,,
0,0,2.3689017,-0.030684277,0.16476366,8,,,,,
0,0,2.764075,0.1601566,0.4136695,9,,,,,
0,0,2.2941196,-0.03642066,-0.14547536,10,,,,,
0,0,2.5258408,-0.042473733,-0.07716797,11,,,,,
0,0,2.6398048,0.25428608,0.12822865,12,,,,,
0,0,2.2908726,0.07973014,0.26047236,13,,,,,
0,0,2.4321232,0.24107148,0.105486155,14,,,,,
0,0,2.6245604,0.39065444,0.15758738,15,,,,,
0,0,2.631883,0.008633301,0.038653046,16,,,,,
0,0,2.1891274,-0.10545258,0.24424978,17,,,,,
0,0,2.6302972,0.31717065,0.09034556,18,,,,,
0,0,2.391007,0.36392924,0.026772663,19,,,,,
0,0,2.7796204,0.703405,0.30885765,20,,,,,
0,0,2.8187866,0.39362764,-0.011819601,21,,,,,
0,0,2.6064167,0.08964679,-0.15871768,22,,,,,
0,0,2.5249856,0.103479475,0.15130827,23,,,,,
0,0,2.6232903,0.30455095,0.5716064,24,,,,,
0,0,2.1647582,0.068858564,0.45944762,25,,,,,
0,0,2.463439,0.17424576,0.09746164,26,,,,,
0,0,2.4133537,0.505219,0.26020202,27,,,,,
0,0,2.469759,0.19515514,0.5172945,28,,,,,
0,0,2.5904706,0.5709813,0.33899915,29,,,,,
0,0,2.8051262,0.34634608,0.2784889,30,,,,,
0,0,2.8293815,0.49079666,0.24321187,31,,,,,
0,0,2.5479727,0.5687027,0.50624704,32,,,,,
0,0,2.4581115,0.30122358,0.6341285,33,,,,,
0,0,2.3118966,0.22395039,0.26352274,34,,,,,
0,0,2.4075007,-0.28299552,-0.08511314,35,,,,,
0,0,2.3189816,-0.004892781,-0.5648869,36,,,,,
0,0,2.2290022,-0.093975544,-0.26167524,37,,,,,
0,0,2.3416286,-0.27033597,-0.13746604,38,,,,,
0,0,2.5630503,-0.1519239,0.04281421,39,,,,,
0,0,2.2017012,-0.28352755,-0.110408686,40,,,,,
0,0,2.393465,-0.061261594,-0.3652056,41,,,,,
0,0,2.534961,-0.07372795,0.15697134,42,,,,,
0,0,2.7102504,0.2501566,0.35701388,43,,,,,
0,0,2.485804,0.10939902,-0.27755505,44,,,,,
0,0,2.5072236,-0.04135637,-0.06342317,45,,,,,
0,0,2.6727092,0.24305168,0.10348958,46,,,,,
0,0,2.2513268,0.11322087,0.25901064,47,,,,,
0,0,2.3622973,0.17563048,0.047295928,48,,,,,
0,0,2.6067863,0.49536702,0.111442804,49,,,,,
0,0,2.6847625,0.009633139,0.01053685,50,,,,,
0,0,2.2065327,-0.090328865,0.22686034,51,,,,,
0,0,2.5919106,0.34959626,-0.043244645,52,,,,,
0,0,2.4438422,0.38676536,-0.020916373,53,,,,,
0,0,2.6796937,0.68458927,0.11645499,54,,,,,
0,0,2.783236,0.3911078,-0.05343716,55,,,,,
0,0,2.5059838,0.2989658,-0.11678359,56,,,,,
0,0,2.6704347,0.17720295,0.19511628,57,,,,,
0,0,2.7140388,0.30037695,0.47471482,58,,,,,
0,0,2.4756312,0.1886124,0.47062483,59,,,,,
0,0,2.434977,0.26145273,0.056623504,60,,,,,
0,0,2.5232682,0.5213751,0.26294,61,,,,,
0,0,2.2036364,0.17725517,0.4802776,62,,,,,
0,0,2.5200493,0.5288729,0.3916639,63,,,,,
0,0,2.8142138,0.450106,0.29466024,64,,,,,
0,0,2.8515544,0.4716943,0.22966534,65,,,,,
0,0,2.597847,0.5365464,0.5067544,66,,,,,
0,0,2.377733,0.20695847,0.65367633,67,,,,,
0,0,2.3555143,0.1069971,0.14389388,68,,,,,
0,0,2.4096336,-0.29431024,-0.112221956,69,,,,,
0,0,2.1677427,-0.054502785,-0.5240357,70,,,,,
0,0,2.1899297,-0.0746931,-0.2151511,71,,,,,
0,0,2.3006718,-0.23351917,-0.17312285,72,,,,,
0,0,2.4474778,-0.15056878,0.038663507,73,,,,,
0,0,2.3235943,-0.23212293,-0.1482707,74,,,,,
0,0,2.4240403,-0.06450516,-0.31507096,75,,,,,
0,0,2.5074363,-0.049798418,0.2027823,76,,,,,
0,0,2.6576233,0.23443541,0.31034857,77,,,,,
0,0,2.3426905,0.014342845,-0.25423473,78,,,,,
0,0,2.6357727,-0.07680447,-0.114556834,79,,,,,
0,0,2.6325204,0.20525357,0.020727396,80,,,,,
0,0,2.2018197,0.0657817,0.22486205,81,,,,,
0,0,2.4254317,0.11733729,0.07496019,82,,,,,
0,0,2.603026,0.47007874,0.048562363,83,,,,,
0,0,2.7003765,0.05846633,0.000882804,84,,,,,
0,0,2.1783986,-0.19175991,0.21020499,85,,,,,
0,0,2.5643787,0.43102843,-0.11779128,86,,,,,
0,0,2.4217248,0.28055203,0.02988939,87,,,,,
0,0,2.7133262,0.63834757,0.0952445,88,,,,,
0,0,2.672119,0.46006274,-0.04821782,89,,,,,
0,0,2.5920136,0.30255407,-0.14621025,90,,,,,
0,0,2.6123533,0.23152895,0.1538244,91,,,,,
0,0,2.5468316,0.31630284,0.44962642,92,,,,,
0,0,2.3840544,0.21915117,0.3641923,93,,,,,
0,0,2.468093,0.2811272,0.12701,94,,,,,
0,0,2.356463,0.51797557,0.3983865,95,,,,,
0,0,2.5574794,0.235742,0.392907,96,,,,,
0,0,2.7734466,0.555794,0.22516534,97,,,,,
0,0,2.7796674,0.46916327,0.31939223,98,,,,,
0,0,2.8381994,0.44109145,0.19550891,99,,,,,
0,0,2.7518435,0.5634508,0.5032643,100,,,,,
0,0,2.294827,0.25362748,0.58639914,101,,,,,
0,0,2.403843,0.073985904,0.11457594,102,,,,,
0,0,2.5534205,-0.25043786,-0.10831985,103,,,,,
0,0,2.2616148,-0.06939652,-0.5743951,104,,,,,
0,0,2.4640188,-0.03259138,-0.27170208,105,,,,,
0,0,2.4768713,-0.25900087,-0.1939334,106,,,,,
0,0,2.5794785,-0.23925868,0.04871735,107,,,,,
0,0,2.3791733,-0.3187424,-0.14563042,108,,,,,
0,0,2.476759,-0.0634203,-0.3186148,109,,,,,
0,0,2.5307524,-0.05854083,0.12801091,110,,,,,
0,0,2.6186504,0.16573049,0.26154506,111,,,,,
0,0,2.456655,-0.089758165,-0.3792866,112,,,,,
0,0,2.740213,-0.19844747,-0.072491616,113,,,,,
0,0,2.5884356,0.13328478,-0.029014394,114,,,,,
0,0,2.3090906,-0.030492008,0.16273859,115,,,,,
0,0,2.497281,-0.002076238,0.11026013,116,,,,,
0,0,2.6909883,0.3859829,0.025707409,117,,,,,
0,0,2.6671915,0.033222303,-0.08309865,118,,,,,
0,0,2.2522004,-0.19654381,0.16549198,119,,,,,
0,0,2.5244982,0.49823922,-0.10197961,120,,,,,
0,0,2.3315673,0.2674715,0.08307277,121,,,,,
0,0,2.7303457,0.6676364,0.17597477,122,,,,,
0,0,2.3772063,0.27848026,0.117149025,123,,,,,
0,0,2.586359,0.37691742,-0.088219285,124,,,,,
0,0,2.5582032,0.27751672,0.18242174,125,,,,,
0,0,2.6198108,0.31741884,0.39269125,126,,,,,
0,0,2.363169,0.23223749,0.38217622,127,,,,,
0,0,2.3442702,0.25115868,0.24718186,128,,,,,
0,0,2.561889,0.5513015,0.43487138,129,,,,,
