label,cent_x,cent_y,cent_z
0,2.517954409,0.172637354,0.157384387
1,0.4491911,-2.388119423,-1.501732479
2,0.256339602,-2.262576426,1.651647874
3,-4.257757038,2.901640652,-1.397139359
4,1.560612289,2.260515807,1.201596953
