true_label,pred_label,x,y,z,datatime_idx
5,2,-0.12014353,-0.9201326,0.7566037,1530
5,2,-0.045413937,-0.5921096,0.81778765,1531
5,2,0.033875316,-0.56413424,0.88536346,1532
5,2,0.1142869,-0.94220006,1.1217504,1533
5,2,0.32669893,-0.5611416,1.0576187,1534
5,2,0.28947473,-0.7660299,1.1661749,1535
5,2,0.43485168,-0.28518254,1.3487136,1536
5,4,1.3343987,-0.42968804,1.0726526,1537
5,2,1.0394671,-0.1555756,1.1972897,1538
5,2,0.8078172,-0.6919199,1.0932443,1539
5,2,1.0736891,-0.70305854,1.0138836,1540
5,4,1.3943906,-0.11563298,0.9952706,1541
5,2,1.0332866,0.12298949,1.0407919,1542
5,2,1.2068145,-0.032066703,1.3119824,1543
5,2,0.94029677,-0.12236631,1.1379809,1544
5,2,1.2408843,-0.31865394,1.1517503,1545
5,2,1.1530652,-0.14804839,1.1412876,1546
5,2,1.1529942,-0.04794413,1.2421252,1547
5,2,0.5876513,-0.7887604,1.3358438,1548
5,2,0.62008727,-0.35353482,1.4304096,1549
5,2,0.3840911,-0.4138865,1.4449115,1550
5,2,0.75241196,0.003186628,1.279819,1551
5,2,0.9157169,-0.1534053,1.2694315,1552
5,2,0.7162733,-0.050564438,1.0464413,1553
5,2,0.96657103,-0.38611257,1.4090586,1554
5,2,0.55858576,-0.37115043,1.3142565,1555
5,2,0.9656762,0.10175733,1.3793373,1556
5,2,0.6664212,-0.12968278,1.3495841,1557
5,2,0.9629719,-0.14861757,1.2465321,1558
5,2,0.4574337,0.29209965,1.2221949,1559
5,2,0.8160553,0.17963085,1.2882913,1560
5,2,1.0081367,0.15655321,1.2901506,1561
5,2,0.7786548,0.6986326,1.313149,1562
5,2,0.7705405,0.99533165,1.3164592,1563
5,2,-0.19550028,-0.9501307,0.74760354,1564
5,2,-0.20157033,-0.68398654,0.79815626,1565
5,2,-0.08070539,-0.67602485,0.8696922,1566
5,2,-0.07940937,-1.0278413,1.1034606,1567
5,2,0.13359743,-0.6466116,1.1034064,1568
5,2,0.031614218,-0.73943746,1.0968974,1569
5,2,0.34711495,-0.39533225,1.3226548,1570
5,2,1.1696255,-0.5002662,1.027185,1571
5,2,0.9275998,-0.25843984,1.1135834,1572
5,2,0.77116233,-0.74984324,1.1527601,1573
5,2,0.9890277,-0.63617814,0.9034784,1574
5,4,1.234361,-0.15330337,0.9747811,1575
5,2,0.920269,0.086021915,1.0374095,1576
5,2,0.9852186,-0.21202733,1.2410539,1577
5,2,0.7442844,-0.1788698,1.0696535,1578
5,2,1.101821,-0.3687747,1.1439472,1579
5,2,0.96091175,-0.15059139,1.1192558,1580
5,2,0.844696,-0.21994933,1.1833162,1581
5,2,0.5330116,-0.7684425,1.2535349,1582
5,2,0.62913305,0.03700374,1.2983838,1583
5,2,0.34499857,-0.38701352,1.3727933,1584
5,2,0.8158525,0.24024884,1.1616359,1585
5,2,0.91803026,0.15475696,1.1623809,1586
5,2,0.6543044,-0.00585711,0.9813964,1587
5,2,0.9220127,-0.30941382,1.2676342,1588
5,2,0.6556745,-0.20406479,1.2156199,1589
5,2,0.82916564,0.114052296,1.3159119,1590
5,2,0.721655,-0.027266994,1.295885,1591
5,2,0.9809113,-0.06215787,1.1066046,1592
5,2,0.52962595,0.440195,1.0974143,1593
5,2,0.78669584,0.12260379,1.255087,1594
5,2,0.99075186,0.27106562,1.1988451,1595
5,2,0.78384626,0.7213744,1.170053,1596
5,2,0.6546221,0.83969766,1.2098986,1597
5,2,-0.3622111,-0.6674455,0.6017968,1598
5,2,-0.29639506,-0.4583031,0.57468206,1599
5,2,-0.17298591,-0.57905823,0.76814216,1600
5,2,-0.38752252,-0.7291122,1.0283002,1601
5,2,-0.013866672,-0.49038076,0.9645295,1602
5,2,-0.0589023,-0.51787376,0.9443024,1603
5,2,0.28735676,-0.3450523,1.2252774,1604
5,4,1.070924,-0.3533373,1.0197673,1605
5,2,0.85165685,-0.28847736,1.0457857,1606
5,2,0.869596,-0.7248526,1.0712836,1607
5,2,0.8984333,-0.6134989,0.8520731,1608
5,4,1.1086152,-0.19281438,0.9163964,1609
5,2,0.82772315,0.16458103,1.0104802,1610
5,2,1.0961945,-0.11555699,1.1124405,1611
5,2,0.78159416,-0.064728945,0.97495085,1612
5,2,1.1091604,-0.4348236,1.1294063,1613
5,2,0.8710481,-0.15176597,1.0675131,1614
5,2,1.010502,0.084783524,1.1286436,1615
5,2,0.47644678,-0.79908353,1.1861365,1616
5,2,0.5612488,0.12385613,1.2105768,1617
5,2,0.38758022,-0.514246,1.2739792,1618
5,2,0.7692805,0.2766257,1.0799923,1619
5,2,0.898949,0.093791574,1.1237609,1620
5,2,0.5858922,0.06718021,0.8856834,1621
5,2,0.8327546,-0.29996058,1.153724,1622
5,2,0.5393149,-0.3066548,1.0839715,1623
5,2,0.6861645,-0.12781613,1.2882909,1624
5,2,0.6125442,0.10252279,1.178109,1625
5,2,0.8517633,-0.128384,1.0559542,1626
5,2,0.5010985,0.6132093,0.94428456,1627
5,2,0.66735584,0.15685058,1.1377248,1628
5,2,0.904055,0.3067293,1.0995827,1629
5,4,0.81357634,0.7979754,1.0103221,1630
5,2,0.60315436,0.9462772,1.0239716,1631
5,2,-0.73894745,-0.41447234,0.5425107,1632
5,2,-0.48543906,-0.32771218,0.517492,1633
5,2,-0.47228414,-0.29831654,0.6735139,1634
5,2,-0.42234933,-0.5434208,0.9103813,1635
5,2,-0.23511404,-0.4154845,0.8440177,1636
5,2,-0.1297741,-0.36303788,0.82432485,1637
5,2,0.12678416,-0.18260747,1.1441965,1638
5,4,0.9347298,-0.28636897,0.98872435,1639
5,2,0.663598,-0.24158718,0.95290637,1640
5,2,0.7008813,-0.6574522,1.055124,1641
5,2,0.90386784,-0.49767455,0.7091955,1642
5,4,1.0355213,-0.14332852,0.85122746,1643
5,2,0.6787566,0.10996161,0.96783125,1644
5,2,0.94936365,-0.24139294,1.0884185,1645
5,2,0.6060782,-0.24530049,0.92688584,1646
5,2,1.1501572,-0.46813983,1.0684577,1647
5,2,0.65991575,-0.21056692,0.99073905,1648
5,2,0.94805145,-0.08261326,1.071497,1649
5,2,0.42158103,-0.6991736,1.1237444,1650
5,2,0.35089988,0.03300892,1.2042577,1651
5,2,0.34017372,-0.5285654,1.151876,1652
5,2,0.687221,0.17380267,1.0245509,1653
5,2,0.88376886,0.07835953,1.1333196,1654
5,2,0.45702988,0.1606824,0.8392523,1655
5,2,0.73795277,-0.19776514,1.1541395,1656
5,2,0.5213304,-0.09875128,0.99165964,1657
5,2,0.7175161,0.012226939,1.1360344,1658
5,2,0.46064407,0.19334207,1.1516042,1659
5,2,0.7161515,-0.021082774,0.91366005,1660
5,2,0.31449607,0.6965075,0.8551011,1661
5,2,0.51957905,0.21872707,1.0358522,1662
5,2,0.80145025,0.4095836,1.0314963,1663
5,4,0.72933584,0.8163537,1.0232911,1664
5,2,0.48857987,0.97153974,0.9397172,1665
5,2,-0.47858056,-0.70247895,0.56567615,1666
5,2,-0.16610798,-0.4590666,0.51581013,1667
5,2,-0.32694677,-0.3313343,0.6961019,1668
5,2,-0.41364002,-0.5550908,0.85731983,1669
5,2,-0.08513227,-0.40049267,0.77568674,1670
5,2,-0.06752267,-0.3411799,0.77870804,1671
5,2,0.10129423,-0.08190097,1.0463349,1672
5,4,0.927264,-0.30809632,0.8806765,1673
5,2,0.64147365,-0.19812727,0.8642744,1674
5,2,0.79182684,-0.6543134,0.95259297,1675
5,2,0.7775345,-0.5272942,0.6261844,1676
5,2,1.0544475,-0.122565635,0.7332022,1677
5,2,0.5382273,0.00023818,0.956583,1678
5,2,0.76310843,-0.22228384,0.8931813,1679
5,2,0.43495095,-0.14337486,0.7005544,1680
5,2,0.9756368,-0.56601775,0.955014,1681
5,2,0.5646862,-0.16486502,0.84871346,1682
5,2,0.8329147,-0.027415574,0.92721397,1683
5,2,0.20283043,-0.6389587,1.0280694,1684
5,2,0.2316334,0.23877862,1.0886362,1685
5,2,0.16466233,-0.48496336,1.0576968,1686
5,2,0.6491797,0.010085724,0.9677055,1687
5,2,0.897333,0.003333956,1.089316,1688
5,2,0.32149458,0.1258886,0.7693622,1689
5,2,0.67583585,-0.09987846,1.0578518,1690
5,2,0.4654923,-0.10202264,0.9475794,1691
5,2,0.49287802,-0.14874145,1.0540376,1692
5,2,0.2514305,0.35880873,1.0298512,1693
5,2,0.5626823,-0.14545125,0.8772172,1694
5,2,0.20402461,0.65292084,0.7631079,1695
5,2,0.43508375,0.20585102,0.9373039,1696
5,2,0.6779655,0.36964723,0.8821479,1697
5,4,0.63197124,0.9230969,0.9258447,1698
5,2,0.34423873,1.0256469,0.82693267,1699
5,2,-0.91272354,-0.43836525,0.58490944,1700
5,2,-0.8132409,-0.29239798,0.5221621,1701
5,2,-0.9927324,-0.1915113,0.70803726,1702
5,2,-0.6118592,-0.4137559,0.8343591,1703
5,2,-0.4758406,-0.31662202,0.73214126,1704
5,2,-0.40012315,-0.25353146,0.7354484,1705
5,2,-0.15994886,-0.2265934,0.9868531,1706
5,4,0.7176973,-0.2487319,0.87772185,1707
5,2,0.3040176,-0.29943267,0.856879,1708
5,2,0.5784637,-0.6392329,0.98613656,1709
5,2,0.6468872,-0.4912945,0.61290896,1710
5,2,0.8145435,-0.17515281,0.7014308,1711
5,2,0.4438492,0.023490623,0.9233735,1712
5,2,0.5903841,-0.18945661,0.8277009,1713
5,2,0.1972628,-0.04897116,0.64261025,1714
5,2,0.83741784,-0.4889326,0.8820422,1715
5,2,0.3906286,-0.1260367,0.78532714,1716
5,2,0.6865915,-0.000300214,0.78667784,1717
5,2,0.0326294,-0.5986968,0.9491994,1718
5,2,0.19002405,0.11130993,1.0062454,1719
5,2,0.1377951,-0.29598907,0.9494926,1720
5,2,0.6239904,0.14237046,0.76785934,1721
5,2,0.9518801,0.032112986,0.99407125,1722
5,2,0.3233679,0.20307648,0.5790369,1723
5,2,0.57169306,0.11013991,0.9620652,1724
5,2,0.42553344,0.01252459,0.8217931,1725
5,2,0.47567117,0.23036882,0.7980647,1726
5,2,0.25087345,0.6014539,0.9044068,1727
5,2,0.42835543,0.25855547,0.48349732,1728
5,2,0.10650386,0.8643663,0.64550054,1729
5,2,0.33945617,0.42643225,0.6919264,1730
5,2,0.6872861,0.47308457,0.7403099,1731
5,4,0.5802628,1.0427895,0.7749258,1732
5,2,0.35932815,1.0345151,0.67119217,1733
5,2,-0.5724089,-0.73896646,0.5403905,1734
5,2,-0.60801256,-0.37847438,0.4438796,1735
5,2,-0.66711044,-0.2897417,0.6221573,1736
5,2,-0.47266808,-0.48262882,0.74452186,1737
5,2,-0.4332541,-0.18193787,0.5492095,1738
5,2,-0.47337735,-0.10956575,0.607039,1739
5,2,-0.09354104,-0.32407102,0.9686543,1740
5,2,0.7151633,-0.27295375,0.82769376,1741
5,2,0.28277266,-0.24764946,0.7088826,1742
5,2,0.5886657,-0.57396847,0.79230976,1743
5,2,0.4500957,-0.5082054,0.5628894,1744
5,2,0.8950507,-0.24350761,0.47035378,1745
5,2,0.46216407,0.13798837,0.81542546,1746
5,2,0.4809818,-0.05806002,0.6548592,1747
5,2,0.22438031,0.0909273,0.3538771,1748
5,2,0.780195,-0.41404748,0.6948094,1749
5,2,0.40399513,0.009124152,0.6632153,1750
5,2,0.57658976,0.07941666,0.6022086,1751
5,2,0.09974213,-0.68478286,0.8824556,1752
5,2,0.31223953,0.29666016,0.7685566,1753
5,2,0.23522966,-0.3635942,0.9420221,1754
5,2,0.5758331,0.13520887,0.642329,1755
5,2,0.94948494,-0.016786948,0.8949592,1756
5,2,0.27117094,0.24749239,0.44238093,1757
5,2,0.39769703,-0.09745726,0.98330015,1758
5,2,0.3490883,-0.079019725,0.80091345,1759
5,2,0.3959468,0.12989394,0.7013024,1760
5,2,0.09544262,0.72308564,0.81165326,1761
5,2,0.36810684,0.22924688,0.44492543,1762
5,2,-0.010012893,0.8780554,0.5692545,1763
5,2,0.22227894,0.4616871,0.65150046,1764
5,2,0.5550789,0.28155112,0.8044239,1765
5,4,0.48419464,1.0391324,0.65536904,1766
5,2,0.13426517,1.0564476,0.5439285,1767
5,2,-0.90767944,-0.56333166,0.35999137,1768
5,2,-0.93869734,-0.26420343,0.2320856,1769
5,2,-1.063275,-0.181529,0.43393645,1770
5,2,-0.6346191,-0.46050504,0.6858804,1771
5,2,-0.627571,-0.13621181,0.4390049,1772
5,2,-0.67852867,-0.04689298,0.4539808,1773
5,2,-0.33272582,-0.39493057,1.0181108,1774
5,2,0.56799537,-0.2936653,0.7563431,1775
5,2,0.016770884,-0.33299837,0.6793433,1776
5,2,0.3676029,-0.5023476,0.6984265,1777
5,2,0.5188273,-0.51915175,0.38599685,1778
5,2,0.82436633,-0.20003475,0.3508032,1779
5,2,0.22644658,0.15956458,0.8455887,1780
5,2,0.40424156,0.054617956,0.5224205,1781
5,2,0.19660072,0.09184511,0.27281973,1782
5,2,0.747223,-0.45888552,0.6120361,1783
5,2,0.33644575,-0.047672585,0.6845877,1784
5,2,0.505106,0.14178364,0.5368151,1785
5,2,0.04951185,-0.67798865,0.84049296,1786
5,2,0.19522506,0.17554343,0.8414245,1787
5,2,0.19616932,-0.40867746,0.98789597,1788
5,2,0.48332912,0.1833602,0.58766073,1789
5,2,0.91358113,-0.06281999,0.9252489,1790
5,2,0.2363511,0.23045954,0.45006707,1791
5,2,0.40934515,0.3534361,0.8169407,1792
5,2,0.2362471,-0.01372309,0.7981396,1793
5,2,0.2898504,0.17343593,0.65829384,1794
5,2,0.03309038,0.7460682,0.80844253,1795
5,2,0.20102549,0.38865352,0.33341783,1796
5,2,-0.048893876,0.92373776,0.47885516,1797
5,2,0.15756589,0.46477115,0.54937214,1798
5,2,0.47727737,0.5492755,0.6824987,1799
5,4,0.33404997,1.0899532,0.6054344,1800
5,2,0.14509273,0.7285212,0.6039094,1801
5,2,-1.2010857,-0.2567885,0.16257727,1802
5,2,-1.3041755,-0.16707107,0.09597528,1803
5,2,-1.4104424,-0.14651695,0.26558042,1804
5,2,-1.2500035,-0.27605814,0.54795575,1805
5,2,-0.9527051,-0.20764293,0.34020776,1806
5,2,-0.9290711,-0.10627707,0.23512545,1807
5,2,-0.6815145,-0.3403298,0.82915545,1808
5,2,0.10956467,-0.4034716,0.6727514,1809
5,2,-0.27597898,-0.42461622,0.64837086,1810
5,2,0.11118723,-0.5876044,0.68212146,1811
5,2,0.25987402,-0.651212,0.33046126,1812
5,2,0.54542464,-0.3322361,0.3459575,1813
5,2,0.041728415,0.052798733,0.78530794,1814
5,2,0.17295654,-0.07746318,0.4160126,1815
5,2,0.08117337,0.17949563,0.13980286,1816
5,2,0.698553,-0.4399706,0.47349352,1817
5,2,0.12302221,-0.15024406,0.6293836,1818
5,2,0.39152825,-0.01063779,0.51372486,1819
5,2,-0.058747564,-0.5756061,0.749429,1820
5,2,0.15915035,0.27251288,0.7633321,1821
5,2,0.2018025,-0.43464023,0.8421633,1822
5,2,0.52627736,0.18373933,0.5344639,1823
5,2,0.88079345,0.02884072,0.81432974,1824
5,2,0.2078442,0.40646935,0.36838353,1825
5,2,0.38546127,0.43323576,0.80441964,1826
5,2,0.23917583,-0.100624636,0.80833924,1827
5,2,0.28063875,0.003074646,0.73370886,1828
5,2,-0.006033268,0.80087113,0.8442313,1829
5,2,0.17288624,0.37148163,0.44519567,1830
5,2,-0.1331415,0.9261204,0.48714912,1831
5,2,0.18821001,0.37044787,0.5471808,1832
5,2,0.34744364,0.5800916,0.69878936,1833
5,2,0.32150978,1.1154914,0.6384753,1834
5,2,0.09593474,0.7792884,0.5485312,1835
